Customer_ID ,Own,AutoPartner,InsurancePartner,Intermediary,IRR,Credit_Score,Approved_Date,NewCar,UsedCar,Refinance,Amount,Term,Offered_Rate,Refinance,Competitor,Prime,Accepted,Funded_Date,Offered_competitor,Offered_prime
68,0,0,0,1,1,785,2017-09-01,0,1,0,17325,60,6.05,,6.15,2.6,0,,-0.1,3.45
69,0,0,1,0,1,750,2017-09-01,0,1,0,44550,60,6.05,,6.15,2.6,0,,-0.1,3.45
70,0,0,0,1,4,661,2017-09-01,1,0,0,18500,36,11.75,,3.99,2.6,0,,7.76,9.15
71,0,1,0,0,1,770,2017-09-01,0,0,1,17149,48,5.75,5.9,6.49,2.6,0,,-0.74,3.15
72,0,0,0,1,4,655,2017-09-01,1,0,0,30000,48,9.55,,5.59,2.6,0,,3.96,6.95
73,1,0,0,0,4,649,2017-09-04,0,0,1,17653,60,11.53,13,6.49,2.6,0,,5.04,8.93
74,1,0,0,0,4,652,2017-09-01,1,0,0,47000,72,12.15,,6.39,2.6,0,,5.76,9.55
75,1,0,0,0,2,722,2017-09-01,0,0,1,10823,36,7.89,13,6.05,2.6,1,2017-09-28,1.84,5.29
76,0,0,0,1,1,783,2017-09-01,0,1,0,17820,60,6.05,,6.15,2.6,0,,-0.1,3.45
77,0,0,1,0,3,697,2017-09-01,0,0,1,14850,36,10.85,6,6.05,2.6,0,,4.8,8.25
78,0,0,0,1,1,769,2017-09-01,0,1,0,21582,60,6.05,,6.15,2.6,0,,-0.1,3.45
79,1,0,0,0,1,798,2017-09-01,1,0,0,34000,72,6.39,,6.39,2.6,0,,0,3.79
80,1,0,0,0,4,659,2017-09-01,1,0,0,22000,72,12.15,,6.39,2.6,0,,5.76,9.55
81,1,0,0,0,4,662,2017-09-01,0,1,0,14850,72,12.25,,6.89,2.6,0,,5.36,9.65
82,1,0,0,0,3,681,2017-09-01,0,1,0,22770,72,10.25,,6.89,2.6,0,,3.36,7.65
83,0,0,0,1,1,815,2017-09-01,1,0,0,20000,60,5.49,,5.59,2.6,0,,-0.1,2.89
84,0,0,0,1,3,716,2017-09-01,1,0,0,37267,60,7.39,,5.59,2.6,0,,1.8,4.79
85,0,0,0,1,1,755,2017-09-01,1,0,0,50000,60,5.39,,5.59,2.6,0,,-0.2,2.79
86,0,0,1,0,1,828,2017-09-01,0,1,0,15943,60,6.05,,6.15,2.6,1,2017-09-14,-0.1,3.45
87,0,0,0,1,4,668,2017-09-01,0,0,1,16005,60,10.53,12,6.49,2.6,0,,4.04,7.93
88,1,0,0,0,4,647,2017-09-01,1,0,0,23177,60,11.85,,5.59,2.6,0,,6.26,9.25
89,0,0,0,1,4,651,2017-09-01,1,0,0,17000,60,11.85,,5.59,2.6,0,,6.26,9.25
90,1,0,0,0,1,758,2017-09-01,0,1,0,25121,36,5.65,,5.65,2.6,0,,0,3.05
91,1,0,0,0,1,770,2017-09-01,0,1,0,21780,60,6.05,,6.15,2.6,0,,-0.1,3.45
92,1,0,0,0,3,683,2017-09-01,1,0,0,38000,72,9.75,,6.39,2.6,0,,3.36,7.15
93,0,0,0,1,1,756,2017-09-01,1,0,0,14087,36,4.95,,3.99,2.6,0,,0.96,2.35
94,1,0,0,0,4,649,2017-09-02,0,1,0,11385,48,11.95,,6.15,2.6,0,,5.8,9.35
95,1,0,0,0,4,651,2017-09-01,1,0,0,25380,60,11.85,,5.59,2.6,0,,6.26,9.25
96,0,0,0,1,2,707,2017-09-01,1,0,0,45000,60,7.39,,5.59,2.6,0,,1.8,4.79
97,1,0,0,0,2,722,2017-09-01,0,0,1,7524,36,7.89,6.44,6.05,2.6,0,,1.84,5.29
98,0,0,0,1,1,764,2017-09-01,1,0,0,48000,72,6.39,,6.39,2.6,0,,0,3.79
99,0,0,0,1,1,666,2017-09-01,0,0,1,10096,36,5.95,22,6.05,2.6,1,2017-09-12,-0.1,3.35
100,0,0,0,1,1,804,2017-09-01,1,0,0,45000,60,5.49,,5.59,2.6,0,,-0.1,2.89
101,1,0,0,0,4,664,2017-09-01,0,1,0,18612,66,12.25,,6.89,2.6,0,,5.36,9.65
102,0,0,0,1,1,730,2017-09-02,1,0,0,23000,72,6.29,,6.39,2.6,0,,-0.1,3.69
103,1,0,0,0,3,680,2017-09-02,1,0,0,15000,72,9.75,,6.39,2.6,0,,3.36,7.15
104,1,0,0,0,1,743,2017-09-02,0,1,0,19800,60,6.05,,6.15,2.6,0,,-0.1,3.45
105,1,0,0,0,4,667,2017-09-02,0,1,0,20513,60,11.95,,6.15,2.6,0,,5.8,9.35
106,0,1,0,0,3,698,2017-09-02,0,0,1,20394,60,7.39,7.5,6.49,2.6,0,,0.9,4.79
107,1,0,0,0,1,800,2017-09-01,1,0,0,31000,60,5.49,,5.59,2.6,0,,-0.1,2.89
108,1,0,0,0,1,810,2017-09-01,0,1,0,19800,36,6.61,,5.65,2.6,0,,0.96,4.01
109,1,0,0,0,1,802,2017-09-02,0,1,0,21780,60,6.05,,6.15,2.6,1,2017-09-14,-0.1,3.45
110,1,0,0,0,3,694,2017-09-02,1,0,0,38000,72,9.75,,6.39,2.6,0,,3.36,7.15
111,0,0,0,1,1,690,2017-09-02,0,1,0,35614,72,6.89,,6.89,2.6,0,,0,4.29
112,1,0,0,0,1,750,2017-09-02,1,0,0,50000,60,5.49,,5.59,2.6,0,,-0.1,2.89
113,1,0,0,0,1,795,2017-09-02,1,0,0,35000,36,3.99,,3.99,2.6,0,,0,1.39
114,1,0,0,0,1,769,2017-09-02,1,0,0,53000,60,5.49,,5.59,2.6,0,,-0.1,2.89
115,0,0,0,1,4,648,2017-09-02,0,1,0,19219,72,12.25,,6.89,2.6,0,,5.36,9.65
116,1,0,0,0,4,655,2017-09-02,1,0,0,12000,72,12.15,,6.39,2.6,0,,5.76,9.55
117,0,0,1,0,2,702,2017-09-02,0,0,1,9900,48,7.19,8.4,6.49,2.6,0,,0.7,4.59
118,0,0,1,0,3,674,2017-09-02,1,0,0,30000,60,9.55,,5.59,2.6,0,,3.96,6.95
119,1,0,0,0,1,801,2017-09-01,1,0,0,38000,36,3.99,,3.99,2.6,0,,0,1.39
120,0,0,1,0,3,694,2017-09-02,0,0,1,16209,60,7.53,9,6.49,2.6,0,,1.04,4.93
121,1,0,0,0,3,678,2017-09-02,1,0,0,19000,36,9.55,,3.99,2.6,0,,5.56,6.95
122,0,0,1,0,1,755,2017-09-02,1,0,0,25000,60,5.49,,5.59,2.6,0,,-0.1,2.89
123,0,0,1,0,1,754,2017-09-02,1,0,0,20000,60,5.49,,5.59,2.6,0,,-0.1,2.89
124,0,1,0,0,1,796,2017-09-02,0,0,1,23341,72,6.23,7.7,7.29,2.6,0,,-1.06,3.63
125,0,0,0,1,1,741,2017-09-02,0,1,0,6930,36,5.65,,5.65,2.6,1,2017-09-08,0,3.05
126,1,0,0,0,1,814,2017-09-02,0,1,0,28215,60,6.05,,6.15,2.6,0,,-0.1,3.45
127,0,0,0,1,4,652,2017-09-02,0,0,1,5985,36,11.95,16.95,6.05,2.6,1,2017-09-20,5.9,9.35
128,1,0,0,0,4,663,2017-09-02,0,0,1,19525,72,10.52,11.99,7.29,2.6,0,,3.23,7.92
129,0,0,1,0,3,687,2017-09-02,0,0,1,11534,48,7.39,7.5,6.49,2.6,1,2017-09-18,0.9,4.79
130,1,0,0,0,2,713,2017-09-02,0,1,0,23760,60,7.44,,6.15,2.6,0,,1.29,4.84
131,0,0,1,0,1,785,2017-09-02,1,0,0,56000,60,5.49,,5.59,2.6,0,,-0.1,2.89
132,1,0,0,0,1,705,2017-09-02,0,1,0,26730,48,6.15,,6.15,2.6,0,,0,3.55
133,1,0,0,0,4,662,2017-09-02,1,0,0,18999,48,11.85,,5.59,2.6,0,,6.26,9.25
134,1,0,0,0,2,725,2017-09-02,1,0,0,50000,60,7.39,,5.59,2.6,0,,1.8,4.79
135,1,0,0,0,1,744,2017-09-02,0,1,0,12771,48,6.15,,6.15,2.6,1,2017-09-18,0,3.55
136,0,0,0,1,3,675,2017-09-02,0,1,0,15952,60,9.65,,6.15,2.6,1,2017-09-14,3.5,7.05
137,0,0,0,1,1,793,2017-09-02,0,1,0,21780,48,6.15,,6.15,2.6,0,,0,3.55
138,0,0,0,1,2,727,2017-09-02,0,0,1,26730,60,8.09,6.9,6.49,2.6,0,,1.6,5.49
139,1,0,0,0,1,756,2017-09-02,0,1,0,16632,36,5.65,,5.65,2.6,0,,0,3.05
140,0,0,1,0,1,738,2017-09-02,0,0,1,20790,60,6.03,7.5,6.49,2.6,0,,-0.46,3.43
141,1,0,0,0,1,829,2017-09-02,0,0,1,5940,48,6.49,8,6.49,2.6,1,2017-09-18,0,3.89
142,1,0,0,0,2,689,2017-09-02,0,1,0,34650,60,7.44,,6.15,2.6,0,,1.29,4.84
143,1,0,0,0,2,724,2017-09-02,1,0,0,38000,60,7.39,,5.59,2.6,0,,1.8,4.79
144,1,0,0,0,2,726,2017-09-02,1,0,0,33000,36,7.34,,3.99,2.6,0,,3.35,4.74
145,0,0,1,0,1,729,2017-09-02,1,0,0,30000,36,3.99,,3.99,2.6,0,,0,1.39
146,0,0,1,0,1,738,2017-09-02,1,0,0,45000,60,5.49,,5.59,2.6,0,,-0.1,2.89
147,0,0,1,0,1,736,2017-09-02,1,0,0,42000,60,5.49,,5.59,2.6,0,,-0.1,2.89
148,0,0,1,0,1,761,2017-09-02,0,1,0,36135,60,6.05,,6.15,2.6,0,,-0.1,3.45
149,0,0,1,0,2,704,2017-09-02,1,0,0,15000,60,7.39,,5.59,2.6,0,,1.8,4.79
150,1,0,0,0,1,757,2017-09-02,0,0,1,14411,48,5.75,6.99,6.49,2.6,0,,-0.74,3.15
151,1,0,0,0,2,721,2017-09-02,0,1,0,24750,48,7.44,,6.15,2.6,0,,1.29,4.84
152,1,0,0,0,2,704,2017-09-02,0,1,0,31655,72,8.09,,6.89,2.6,1,2017-09-12,1.2,5.49
153,0,0,0,1,1,817,2017-09-02,0,1,0,14850,36,5.65,,5.65,2.6,0,,0,3.05
154,0,0,1,0,4,658,2017-09-02,1,0,0,20000,60,11.85,,5.59,2.6,0,,6.26,9.25
155,0,0,0,1,2,707,2017-09-02,1,0,0,20000,60,7.39,,5.59,2.6,0,,1.8,4.79
156,0,0,1,0,2,727,2017-09-02,0,1,0,19800,60,7.44,,6.15,2.6,0,,1.29,4.84
157,0,1,0,0,1,806,2017-09-02,0,0,1,13147,36,6.03,7.5,6.05,2.6,0,,-0.02,3.43
158,0,0,1,0,1,815,2017-09-02,1,0,0,30000,72,6.39,,6.39,2.6,0,,0,3.79
159,0,0,1,0,3,757,2017-09-02,1,0,0,25560,60,7.39,,5.59,2.6,0,,1.8,4.79
160,0,0,0,1,4,651,2017-09-02,1,0,0,20000,72,12.15,,6.39,2.6,0,,5.76,9.55
161,1,0,0,0,1,740,2017-09-02,0,1,0,7326,72,6.89,,6.89,2.6,1,2017-09-15,0,4.29
162,0,0,1,0,1,811,2017-09-02,1,0,0,22000,48,5.59,,5.59,2.6,0,,0,2.99
163,0,0,0,1,2,710,2017-09-02,1,0,0,30709,60,7.39,,5.59,2.6,0,,1.8,4.79
164,1,0,0,0,1,734,2017-09-02,0,1,0,7920,36,5.65,,5.65,2.6,1,2017-09-13,0,3.05
165,0,0,0,1,1,767,2017-09-02,0,0,1,27720,60,6.49,8.9,6.49,2.6,0,,0,3.89
166,0,0,0,1,2,687,2017-09-02,0,1,0,34650,60,5.54,,6.15,2.6,0,,-0.61,2.94
167,1,0,0,0,1,824,2017-09-02,0,1,0,18474,60,6.05,,6.15,2.6,1,2017-09-08,-0.1,3.45
168,0,0,0,1,1,796,2017-09-02,0,1,0,42112,60,6.05,,6.15,2.6,0,,-0.1,3.45
169,1,0,0,0,1,749,2017-09-02,1,0,0,26000,72,6.39,,6.39,2.6,0,,0,3.79
170,1,0,0,0,3,716,2017-09-02,1,0,0,50000,60,9.55,,5.59,2.6,0,,3.96,6.95
171,1,0,0,0,1,773,2017-09-02,0,0,1,19008,48,5.75,7,6.49,2.6,1,2017-09-14,-0.74,3.15
172,1,0,0,0,3,682,2017-09-02,0,1,0,31498,72,10.25,,6.89,2.6,0,,3.36,7.65
173,0,0,1,0,2,710,2017-09-02,1,0,0,45000,60,7.39,,5.59,2.6,0,,1.8,4.79
174,0,0,1,0,1,784,2017-09-02,0,1,0,44550,60,6.05,,6.15,2.6,1,2017-09-08,-0.1,3.45
175,0,0,1,0,4,659,2017-09-02,1,0,0,35000,72,12.15,,6.39,2.6,0,,5.76,9.55
176,1,0,0,0,3,684,2017-09-02,0,1,0,8965,48,9.65,,6.15,2.6,1,2017-09-12,3.5,7.05
177,0,0,1,0,2,716,2017-09-02,0,1,0,21780,72,8.09,,6.89,2.6,0,,1.2,5.49
178,1,0,0,0,3,673,2017-09-02,0,0,1,11683,36,10.85,14.95,6.05,2.6,1,2017-09-26,4.8,8.25
179,1,0,0,0,2,688,2017-09-02,1,0,0,25000,72,7.79,,6.39,2.6,0,,1.4,5.19
180,0,0,1,0,4,644,2017-09-02,0,0,1,9042,36,10.85,14.95,6.05,2.6,1,2017-09-12,4.8,8.25
181,1,0,0,0,3,690,2017-09-02,1,0,0,27044,72,9.75,,6.39,2.6,0,,3.36,7.15
182,0,1,0,0,3,695,2017-09-02,0,0,1,22272,60,7.39,7.5,6.49,2.6,1,2017-09-20,0.9,4.79
183,1,0,0,0,4,672,2017-09-02,1,0,0,25000,36,11.75,,3.99,2.6,0,,7.76,9.15
184,1,0,0,0,1,774,2017-09-02,0,1,0,9864,60,6.05,,6.15,2.6,1,2017-09-13,-0.1,3.45
185,0,0,1,0,4,665,2017-09-02,0,1,0,19502,72,9.85,,6.89,2.6,1,2017-09-12,2.96,7.25
186,1,0,0,0,1,789,2017-09-02,0,1,0,26730,60,6.05,,6.15,2.6,0,,-0.1,3.45
187,0,0,1,0,2,703,2017-09-02,0,1,0,35937,66,8.09,,6.89,2.6,0,,1.2,5.49
188,0,0,1,0,2,729,2017-09-02,0,1,0,31415,60,7.44,,6.15,2.6,0,,1.29,4.84
189,0,0,1,0,4,646,2017-09-05,1,0,0,17000,72,12.15,,6.39,2.6,0,,5.76,9.55
190,0,0,1,0,3,677,2017-09-02,0,0,1,5148,36,10.85,14.9,6.05,2.6,0,,4.8,8.25
191,1,0,0,0,2,690,2017-09-02,0,1,0,7722,36,7.39,,5.65,2.6,1,2017-10-03,1.74,4.79
192,0,0,0,1,2,732,2017-09-02,1,0,0,32000,72,7.79,,6.39,2.6,0,,1.4,5.19
193,0,0,1,0,3,677,2017-09-02,1,0,0,33500,60,9.55,,5.59,2.6,0,,3.96,6.95
194,0,0,1,0,3,696,2017-09-06,1,0,0,45000,72,7.79,,6.39,2.6,0,,1.4,5.19
195,1,0,0,0,3,662,2017-09-02,0,1,0,24750,60,9.65,,6.15,2.6,0,,3.5,7.05
196,0,0,0,1,3,769,2017-09-02,1,0,0,30000,72,6.39,,6.39,2.6,0,,0,3.79
197,0,0,1,0,2,709,2017-09-02,0,1,0,28918,36,4.04,,5.65,2.6,0,,-1.61,1.44
198,0,0,0,1,2,727,2017-09-02,1,0,0,50000,60,5.49,,5.59,2.6,0,,-0.1,2.89
199,1,0,0,0,4,663,2017-09-02,0,0,1,5990,48,8.82,10.29,6.49,2.6,0,,2.33,6.22
200,1,0,0,0,3,683,2017-09-02,0,0,1,19800,60,10.6,6.9,6.49,2.6,0,,4.11,8
201,0,0,0,1,4,645,2017-09-02,0,0,1,17848,48,8.28,9.75,6.49,2.6,0,,1.79,5.68
202,1,0,0,0,3,696,2017-09-02,0,0,1,13891,36,8.53,10,6.05,2.6,1,2017-10-17,2.48,5.93
203,0,0,1,0,1,789,2017-09-02,1,0,0,38880,60,5.09,,5.59,2.6,0,,-0.5,2.49
204,1,0,0,0,2,694,2017-09-02,1,0,0,39859,72,7.79,,6.39,2.6,1,2017-09-07,1.4,5.19
205,0,0,1,0,3,689,2017-09-02,0,0,1,11050,36,10.85,15.25,6.05,2.6,0,,4.8,8.25
206,0,0,0,1,3,677,2017-09-02,0,0,1,8316,36,9.53,11,6.05,2.6,0,,3.48,6.93
207,0,0,0,1,1,785,2017-09-02,0,1,0,27720,60,6.05,,6.15,2.6,0,,-0.1,3.45
208,0,0,0,1,4,640,2017-09-02,0,0,1,8811,60,9.48,10.95,6.49,2.6,0,,2.99,6.88
209,1,0,0,0,1,777,2017-09-02,0,1,0,24750,60,6.05,,6.15,2.6,0,,-0.1,3.45
210,0,0,0,1,3,679,2017-09-02,0,1,0,18639,48,9.65,,6.15,2.6,0,,3.5,7.05
211,0,0,1,0,3,690,2017-09-02,0,0,1,11050,48,8.09,15.25,6.49,2.6,0,,1.6,5.49
212,0,0,0,1,1,819,2017-09-02,0,1,0,15840,48,6.15,,6.15,2.6,0,,0,3.55
213,0,0,1,0,1,720,2017-09-02,0,0,1,15840,48,5.95,9,6.49,2.6,0,,-0.54,3.35
214,1,0,0,0,3,659,2017-09-02,0,0,1,17216,36,10.85,14.9,6.05,2.6,0,,4.8,8.25
215,0,1,0,0,1,770,2017-09-02,0,0,1,19993,72,6.78,8.25,7.29,2.6,1,2017-09-14,-0.51,4.18
216,0,0,0,1,2,713,2017-09-02,0,1,0,16859,60,7.44,,6.15,2.6,0,,1.29,4.84
217,1,0,0,0,3,700,2017-09-02,0,1,0,16101,72,10.25,,6.89,2.6,0,,3.36,7.65
218,1,0,0,0,3,682,2017-09-02,1,0,0,27000,60,9.55,,5.59,2.6,0,,3.96,6.95
219,0,0,0,1,1,793,2017-09-02,1,0,0,41141,60,5.49,,5.59,2.6,0,,-0.1,2.89
220,0,0,0,1,3,668,2017-09-02,1,0,0,50000,60,9.55,,5.59,2.6,0,,3.96,6.95
221,0,0,1,0,3,686,2017-09-02,0,0,1,20603,72,7.39,8.7,7.29,2.6,0,,0.1,4.79
222,1,0,0,0,1,792,2017-09-02,1,0,0,20000,36,3.99,,3.99,2.6,0,,0,1.39
223,0,0,0,1,2,719,2017-09-02,0,0,1,11513,36,7.89,6.99,6.05,2.6,0,,1.84,5.29
224,1,0,0,0,4,658,2017-09-02,1,0,0,35000,60,11.85,,5.59,2.6,0,,6.26,9.25
225,0,0,1,0,2,721,2017-09-02,0,1,0,9640,48,7.44,,6.15,2.6,1,2017-10-03,1.29,4.84
226,0,0,0,1,3,674,2017-09-02,0,1,0,14283,60,9.65,,6.15,2.6,1,2017-09-19,3.5,7.05
227,0,1,0,0,2,708,2017-09-02,0,0,1,22072,60,8.09,6.74,6.49,2.6,0,,1.6,5.49
228,0,0,1,0,1,698,2017-09-02,0,0,1,15083,48,5.95,10.9,6.49,2.6,0,,-0.54,3.35
229,0,1,0,0,1,742,2017-09-02,0,0,1,20820,60,6.03,7.5,6.49,2.6,0,,-0.46,3.43
230,0,0,0,1,2,698,2017-09-02,1,0,0,15181,60,7.39,,5.59,2.6,1,2017-09-18,1.8,4.79
231,0,0,0,1,2,705,2017-09-02,1,0,0,30000,60,7.39,,5.59,2.6,0,,1.8,4.79
232,1,0,0,0,3,685,2017-09-02,1,0,0,27630,72,9.75,,6.39,2.6,0,,3.36,7.15
233,0,0,1,0,1,780,2017-09-02,0,1,0,17716,60,6.05,,6.15,2.6,0,,-0.1,3.45
234,1,0,0,0,1,759,2017-09-02,0,0,1,13656,48,6.49,9.5,6.49,2.6,1,2017-09-14,0,3.89
235,1,0,0,0,1,821,2017-09-02,0,1,0,16122,60,6.05,,6.15,2.6,0,,-0.1,3.45
236,0,0,1,0,4,641,2017-09-02,0,1,0,10890,48,11.95,,6.15,2.6,0,,5.8,9.35
237,1,0,0,0,1,795,2017-09-02,1,0,0,14868,60,5.49,,5.59,2.6,1,2017-09-12,-0.1,2.89
