Customer_ID ,Own,Intermediary,AutoPartner,InsurancePartner,Acquisition,IRR,Internal_Risk,Credit_Score,Approved_Date,NewCar,UsedCar,Refinance,Loan_Type,Amount,Term,Offered_Rate,Refinance,Competitor,Prime,Offered_competitor,Offered_prime
7286,0,0,0,1,Insurance Partner,2,Low,715,2017-09-30,0,1,0,Used Car,17325,48,7.44,,5.89,2.757,1.55,4.683
7287,1,0,0,0,Own,1,Very Low,744,2017-09-30,0,0,1,Refinance,9311,48,6.49,11.00,6.49,2.757,0.00,3.733
7288,0,0,1,0,Auto Partner,2,Low,711,2017-09-30,0,0,1,Refinance,14850,60,7.19,7.50,6.49,2.757,0.70,4.433
7289,0,0,0,1,Insurance Partner,1,Very Low,821,2017-09-30,1,0,0,New Car,39501,72,6.19,,6.19,2.757,0.00,3.433
7290,0,0,0,1,Insurance Partner,1,Very Low,757,2017-09-30,1,0,0,New Car,45000,60,5.49,,5.49,2.757,0.00,2.733
7291,0,1,0,0,Intermediary,2,Low,708,2017-09-30,0,1,0,Used Car,8872,60,7.44,,5.89,2.757,1.55,4.683
7292,1,0,0,0,Own,3,High,659,2017-09-30,0,1,0,Used Car,4950,36,9.65,,5.39,2.757,4.26,6.893
7293,0,1,0,0,Intermediary,1,Very Low,833,2017-09-30,0,1,0,Used Car,6732,48,5.49,,5.89,2.757,-0.40,2.733
7294,0,0,0,1,Insurance Partner,3,High,841,2017-09-30,0,1,0,Used Car,14850,36,4.85,,5.39,2.757,-0.54,2.093
7295,0,1,0,0,Intermediary,2,Low,702,2017-09-30,0,0,1,Refinance,13563,48,8.09,11.00,6.49,2.757,1.60,5.333
7296,0,0,0,1,Insurance Partner,2,Low,718,2017-09-30,1,0,0,New Car,30000,60,7.39,,5.49,2.757,1.90,4.633
7297,1,0,0,0,Own,4,Very High,665,2017-09-30,0,0,1,Refinance,10842,48,11.95,20.45,6.49,2.757,5.46,9.193
7298,0,1,0,0,Intermediary,1,Very Low,808,2017-09-30,0,1,0,Used Car,32670,60,5.89,,5.89,2.757,0.00,3.133
7299,0,1,0,0,Intermediary,1,Very Low,827,2017-09-30,1,0,0,New Car,33000,60,5.49,,5.49,2.757,0.00,2.733
7300,0,1,0,0,Intermediary,3,High,681,2017-09-30,1,0,0,New Car,23000,60,9.55,,5.49,2.757,4.06,6.793
7301,1,0,0,0,Own,3,High,670,2017-09-30,0,0,1,Refinance,26082,60,7.39,7.44,6.49,2.757,0.90,4.633
7302,0,0,1,0,Auto Partner,1,Very Low,736,2017-09-30,0,0,1,Refinance,22770,60,5.75,6.20,6.49,2.757,-0.74,2.993
7303,0,0,0,1,Insurance Partner,1,Very Low,831,2017-09-30,1,0,0,New Car,9999.99,36,4.75,,4.75,2.757,0.00,1.993
7304,0,0,1,0,Auto Partner,4,Very High,737,2017-09-30,0,0,1,Refinance,16830,36,8.95,7.24,5.99,2.757,2.96,6.193
7305,1,0,0,0,Own,1,Very Low,826,2017-09-30,1,0,0,New Car,22000,60,5.49,,5.49,2.757,0.00,2.733
7306,1,0,0,0,Own,2,Low,718,2017-09-30,0,0,1,Refinance,20172,48,7.19,7.99,6.49,2.757,0.70,4.433
7307,1,0,0,0,Own,1,Very Low,728,2017-09-30,0,0,1,Refinance,9720,36,5.99,15.00,5.99,2.757,0.00,3.233
7308,0,0,0,1,Insurance Partner,3,High,669,2017-09-30,1,0,0,New Car,25000,60,9.55,,5.49,2.757,4.06,6.793
7309,1,0,0,0,Own,3,High,675,2017-09-30,1,0,0,New Car,30340,48,9.55,,5.49,2.757,4.06,6.793
7310,1,0,0,0,Own,3,High,668,2017-09-30,0,1,0,Used Car,8415,60,9.65,,5.89,2.757,3.76,6.893
7311,0,1,0,0,Intermediary,3,High,676,2017-09-30,0,0,1,Refinance,41380,72,8.27,9.74,7.29,2.757,0.98,5.513
7312,1,0,0,0,Own,4,Very High,664,2017-09-30,0,1,0,Used Car,19800,72,12.25,,6.75,2.757,5.50,9.493
7313,0,0,0,1,Insurance Partner,1,Very Low,749,2017-09-30,0,1,0,Used Car,23760,48,5.89,,5.89,2.757,0.00,3.133
7314,0,0,1,0,Auto Partner,2,Low,711,2017-09-30,0,0,1,Refinance,19305,48,8.09,6.58,6.49,2.757,1.60,5.333
7315,1,0,0,0,Own,1,Very Low,741,2017-09-30,1,0,0,New Car,30400,60,5.49,,5.49,2.757,0.00,2.733
7316,1,0,0,0,Own,4,Very High,651,2017-09-30,0,0,1,Refinance,21754,48,7.99,8.42,6.49,2.757,1.50,5.233
7317,1,0,0,0,Own,3,High,795,2017-09-30,1,0,0,New Car,32000,60,5.49,,5.49,2.757,0.00,2.733
7318,1,0,0,0,Own,1,Very Low,794,2017-09-30,1,0,0,New Car,31000,60,5.49,,5.49,2.757,0.00,2.733
7319,0,1,0,0,Intermediary,3,High,696,2017-09-30,0,0,1,Refinance,15230,48,10.63,12.10,6.49,2.757,4.14,7.873
7320,0,0,0,1,Insurance Partner,2,Low,709,2017-09-30,1,0,0,New Car,38000,66,7.69,,6.19,2.757,1.50,4.933
7321,1,0,0,0,Own,1,Very Low,744,2017-09-30,0,0,1,Refinance,25444,48,6.49,9.49,6.49,2.757,0.00,3.733
7322,1,0,0,0,Own,1,Very Low,810,2017-09-30,1,0,0,New Car,28500,36,4.75,,4.75,2.757,0.00,1.993
7323,0,0,0,1,Insurance Partner,2,Low,710,2017-09-30,0,0,1,Refinance,8525,48,7.19,7.75,6.49,2.757,0.70,4.433
7324,0,0,0,1,Insurance Partner,1,Very Low,805,2017-09-30,1,0,0,New Car,30000,36,4.35,,4.75,2.757,-0.40,1.593
7325,0,1,0,0,Intermediary,1,Very Low,783,2017-09-30,1,0,0,New Car,34999.99,60,5.49,,5.49,2.757,0.00,2.733
7326,1,0,0,0,Own,2,Low,700,2017-09-30,1,0,0,New Car,29999.99,60,7.39,,5.49,2.757,1.90,4.633
7327,0,0,1,0,Auto Partner,1,Very Low,691,2017-09-30,0,0,1,Refinance,29205,72,7.29,5.50,7.29,2.757,0.00,4.533
7328,0,0,1,0,Auto Partner,1,Very Low,818,2017-09-30,0,0,1,Refinance,21541,72,5.75,5.99,7.29,2.757,-1.54,2.993
7329,0,1,0,0,Intermediary,2,Low,720,2017-09-30,0,1,0,Used Car,14850,48,7.44,,5.89,2.757,1.55,4.683
7330,1,0,0,0,Own,3,High,682,2017-09-30,1,0,0,New Car,34300,60,9.55,,5.49,2.757,4.06,6.793
7331,0,0,0,1,Insurance Partner,3,High,684,2017-09-30,1,0,0,New Car,38000,60,9.55,,5.49,2.757,4.06,6.793
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
